state,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,NumChild,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975
Alabama,137,137,137,137,137,137,137,137,137,137,1,137,137,137,137,137,137,137,137,137,137,93,93,88,88,88,88,88,88,88,88,89,89,89,89,89,80,80
Alaska,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1,1028,994,971,940,914,914,891,867,845,821,792,752,719,657,657,657,638,617,597,546,508,400,350,350,300,300,300
American Samoa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,275,275,275,275,275,275,275,275,275,275,1,275,275,275,275,275,275,275,275,275,275,266,233,233,233,233,233,180,180,180,180,156,156,153,135,126,126,180
Arkansas,162,162,162,162,162,162,162,162,162,162,1,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,158,158,135,116,116,100,133,133,133,133,200,200
California,613,613,613,613,613,613,613,613,613,613,1,582,505,505,456,456,479,490,490,490,511,560,560,560,511,511,498,474,448,424,408,408,382,331,287,287,258,237
Canal Zone,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,331,331,331,331,331,331,331,331,331,331,1,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,307,307,247,229,214,201,189,180,172
Connecticut,443,443,443,443,443,443,443,443,443,443,1,443,443,443,443,443,443,443,473,473,473,473,452,452,434,419,411,397,380,368,347,347,383,358,341,309,281,278
Delaware,726,726,726,726,726,726,726,726,726,726,1,691,691,678,648,626,626,270,270,270,270,270,270,265,247,236,229,220,212,197,197,717,197,181,181,181,181,181
District of Columbia,298,298,298,298,298,298,298,298,298,298,1,298,298,298,298,298,326,330,336,330,321,321,321,321,309,286,275,257,257,236,236,657,225,225,203,203,203,192
Florida,241,241,241,241,241,241,241,241,241,241,1,241,241,241,241,241,241,241,241,241,241,225,225,225,211,203,194,185,178,178,161,150,150,150,128,125,111,111
Georgia,356,356,356,356,356,356,356,356,356,356,1,356,356,356,356,356,356,356,356,356,356,356,356,347,315,220,214,187,174,169,162,153,137,121,105,100,105,161
Guam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,258,537,258,258,120,120,120,120,120,120,120,120,120,120,120,201,201,201,195,0,0
Hawaii,452,452,452,452,452,452,452,452,452,452,1,452,565,565,565,565,565,565,565,565,550,531,504,480,445,408,390,390,390,390,390,390,390,390,390,382,370,359
Idaho,309,309,309,309,309,309,309,309,309,309,1,304,304,304,298,251,251,251,251,251,254,329,254,245,245,245,245,245,245,245,245,245,260,260,260,252,252,252
