year,NumChild,FSAllot,SOI
1998,1,172,24
1999,1,189,24
2000,1,192,24
2001,1,204,24
2002,1,214,24
2003,1,221,24
2004,1,224,24
2005,1,238,24
2006,1,242,24
2007,1,248,24
2008,1,261,24
2009,1,327,24
2010,1,327,24
2011,1,327,24
1998,2,231,24
1999,2,251,24
2000,2,257,24
2001,2,281,24
2002,2,299,24
2003,2,312,24
2004,2,320,24
2005,2,344,24
2006,2,352,24
2007,2,361,24
2008,2,378,24
2009,2,473,24
2010,2,473,24
2011,2,473,24
1998,3,282,24
1999,3,307,24
2000,3,313,24
2001,3,339,24
2002,3,360,24
2003,3,377,24
2004,3,385,24
2005,3,415,24
2006,3,425,24
2007,3,443,24
2008,3,470,24
2009,3,596,24
2010,3,601,24
2011,3,601,24
1998,4,328,24
1999,4,355,24
2000,4,364,24
2001,4,391,24
2002,4,416,24
2003,4,438,24
2004,4,449,24
2005,4,483,24
2006,4,496,24
2007,4,516,24
2008,4,548,24
2009,4,696,24
2010,4,702,24
2011,4,702,24
