,year,SOI,NumChild,NS,GR,NR,BS,MB,EDD,ERD,BDD,BRD
1,1975,1,1,133,1.85,1,80,80,0,0,120,0.33
2,1975,1,2,180,1.85,1,108,108,0,0,120,0.33
3,1975,1,3,225,1.85,1,135,135,0,0,120,0.33
4,1975,1,4,264,1.85,1,158,158,0,0,120,0.33
5,1975,2,1,300,1.85,1,300,300,0,0,120,0.33
6,1975,2,2,350,1.85,1,350,350,0,0,120,0.33
7,1975,2,3,400,1.85,1,400,400,0,0,120,0.33
8,1975,2,4,450,1.85,1,450,450,0,0,120,0.33
9,1975,3,1,180,1.85,1,180,126,0,0,120,0.33
10,1975,3,2,233,1.85,1,233,163,0,0,120,0.33
11,1975,3,3,282,1.85,1,282,197,0,0,120,0.33
12,1975,3,4,321,1.85,1,321,225,0,0,120,0.33
13,1975,4,1,200,1.85,1,200,110,0,0,120,0.33
14,1975,4,2,245,1.85,1,245,125,0,0,120,0.33
15,1975,4,3,290,1.85,1,255,140,0,0,120,0.33
16,1975,4,4,335,1.85,1,255,155,0,0,120,0.33
17,1975,5,1,260,1.85,1,237,237,0,0,120,0.33
18,1975,5,2,316,1.85,1,293,293,0,0,120,0.33
19,1975,5,3,389,1.85,1,349,349,0,0,120,0.33
20,1975,5,4,448,1.85,1,399,399,0,0,120,0.33
21,1975,6,1,172,1.85,1,172,172,0,0,120,0.33
22,1975,6,2,217,1.85,1,217,217,0,0,120,0.33
23,1975,6,3,264,1.85,1,264,264,0,0,120,0.33
24,1975,6,4,313,1.85,1,313,313,0,0,120,0.33
25,1975,7,1,278,1.85,1,278,278,0,0,120,0.33
26,1975,7,2,346,1.85,1,346,346,0,0,120,0.33
27,1975,7,3,403,1.85,1,403,403,0,0,120,0.33
28,1975,7,4,457,1.85,1,457,457,0,0,120,0.33
29,1975,8,1,181,1.85,1,181,163,0,0,120,0.33
30,1975,8,2,245,1.85,1,245,221,0,0,120,0.33
31,1975,8,3,287,1.85,1,287,258,0,0,120,0.33
32,1975,8,4,346,1.85,1,346,311,0,0,120,0.33
33,1975,9,1,226,1.85,1,192,192,0,0,120,0.33
34,1975,9,2,286,1.85,1,243,243,0,0,120,0.33
35,1975,9,3,349,1.85,1,297,297,0,0,120,0.33
36,1975,9,4,412,1.85,1,350,350,0,0,120,0.33
37,1975,10,1,150,1.85,1,111,111,0,0,120,0.33
38,1975,10,2,195,1.85,1,144,144,0,0,120,0.33
39,1975,10,3,230,1.85,1,170,170,0,0,120,0.33
40,1975,10,4,265,1.85,1,196,196,0,0,120,0.33
41,1975,11,1,161,1.85,1,161,85,0,0,120,0.33
42,1975,11,2,193,1.85,1,193,123,0,0,120,0.33
43,1975,11,3,227,1.85,1,227,153,0,0,120,0.33
44,1975,11,4,255,1.85,1,255,171,0,0,120,0.33
45,1975,12,1,359,1.85,1,359,359,0,0,120,0.33
46,1975,12,2,428,1.85,1,428,428,0,0,120,0.33
47,1975,12,3,497,1.85,1,497,497,0,0,120,0.33
48,1975,12,4,569,1.85,1,569,569,0,0,120,0.33
49,1975,13,1,289,1.85,1,252,252,0,0,120,0.33
50,1975,13,2,345,1.85,1,300,300,0,0,120,0.33
51,1975,13,3,395,1.85,1,344,344,0,0,120,0.33
52,1975,13,4,440,1.85,1,383,383,0,0,120,0.33
53,1975,14,1,216,1.85,1,216,216,0,0,120,0.33
54,1975,14,2,261,1.85,1,261,261,0,0,120,0.33
55,1975,14,3,317,1.85,1,317,317,0,0,120,0.33
56,1975,14,4,373,1.85,1,373,373,0,0,120,0.33
57,1975,15,1,247,1.85,1,216,150,0,0,120,0.33
58,1975,15,2,307,1.85,1,269,200,0,0,120,0.33
59,1975,15,3,363,1.85,1,318,250,0,0,120,0.33
60,1975,15,4,412,1.85,1,361,300,0,0,120,0.33
61,1975,16,1,234,1.85,1,222,222,0,0,120,0.33
62,1975,16,2,309,1.85,1,294,294,0,0,120,0.33
63,1975,16,3,376,1.85,1,356,356,0,0,120,0.33
64,1975,16,4,428,1.85,1,406,406,0,0,120,0.33
65,1975,17,1,267,1.85,1,267,267,0,0,120,0.33
66,1975,17,2,321,1.85,1,321,321,0,0,120,0.33
67,1975,17,3,353,1.85,1,353,353,0,0,120,0.33
68,1975,17,4,392,1.85,1,392,392,0,0,120,0.33
69,1975,18,1,135,1.85,1,135,135,0,0,120,0.33
70,1975,18,2,185,1.85,1,185,185,0,0,120,0.33
71,1975,18,3,235,1.85,1,235,235,0,0,120,0.33
72,1975,18,4,273,1.85,1,273,275,0,0,120,0.33
73,1975,19,1,118,1.85,1,92,92,0,0,120,0.33
74,1975,19,2,164,1.85,1,128,128,0,0,120,0.33
75,1975,19,3,203,1.85,1,158,158,0,0,120,0.33
76,1975,19,4,237,1.85,1,185,185,0,0,120,0.33
77,1975,20,1,205,1.85,1,205,128,0,0,120,0.33
78,1975,20,2,277,1.85,1,277,176,0,0,120,0.33
79,1975,20,3,349,1.85,1,349,219,0,0,120,0.33
80,1975,20,4,420,1.85,1,420,262,0,0,120,0.33
81,1975,21,1,203,1.85,1,156,156,0,0,120,0.33
82,1975,21,2,259,1.85,1,200,200,0,0,120,0.33
83,1975,21,3,314,1.85,1,242,242,0,0,120,0.33
84,1975,21,4,357,1.85,1,275,275,0,0,120,0.33
85,1975,22,1,215,1.85,1,215,215,0,0,120,0.33
